Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Random Forest,0.7250667727453544,0.3439438899379552,0.3463732681336593,0.3451543042772063,0.6469052409696273,0.3225107471568024
Logistic Regression,0.5577655282150367,0.2736005299768135,0.6731866340668297,0.38907206782854453,0.6361315328615462,0.3052454060879569
Decision Tree,0.6638631584929249,0.26394759087066777,0.3393099701168161,0.29692143111850705,0.5445112655987933,0.22776542508708125
