Model,Accuracy,Precision,Recall,F1,ROC_AUC,PR_AUC
Tuned Logistic Regression,0.5627095527646758,0.27424071991001125,0.6623200217332247,0.38787685943838995,0.6367410033219068,0.30709710545471247
Tuned Random Forest,0.6417571176905155,0.30693360812601206,0.5664221678891606,0.3981286996371969,0.656808101295318,0.3340767835799975
